index,Adj Close,Open,High,Low,Volume
2017-05-17 00:00:00,14000,13900,14100,13800,221668
2017-05-18 00:00:00,13650,13750,13900,13500,252589
2017-05-19 00:00:00,13950,13650,14000,13650,119273
2017-05-22 00:00:00,13800,13950,14000,13650,147770
2017-05-23 00:00:00,13750,14000,14000,13450,171469
2017-05-24 00:00:00,13850,13800,14150,13600,146461
2017-05-25 00:00:00,13750,14000,14000,13650,106575
2017-05-26 00:00:00,13800,13800,13800,13350,207189
2017-05-29 00:00:00,13400,13800,13800,13300,253861
2017-05-30 00:00:00,13600,13400,13700,13350,123592
2017-05-31 00:00:00,14300,13550,14300,13550,605768
2017-06-01 00:00:00,14200,14300,14300,13900,193115
2017-06-02 00:00:00,14950,14300,15150,14100,604019
2017-06-05 00:00:00,15300,15200,15550,14950,477881
2017-06-07 00:00:00,15400,15500,15500,14900,297275
2017-06-08 00:00:00,15750,15400,16200,15350,643757
2017-06-09 00:00:00,15900,15950,16100,15650,292765
2017-06-12 00:00:00,15900,15750,16050,15550,182974
2017-06-13 00:00:00,16250,15950,16400,15900,254100
2017-06-14 00:00:00,16200,16450,16450,16200,230692
2017-06-15 00:00:00,16100,16100,16200,15650,349515
2017-06-16 00:00:00,15750,16150,16200,15550,303434
2017-06-19 00:00:00,16000,15750,16100,15600,152046
2017-06-20 00:00:00,15150,16000,16300,15150,289157
2017-06-21 00:00:00,14950,15300,15600,14700,253687
2017-06-22 00:00:00,14750,15200,15400,14750,212758
2017-06-23 00:00:00,14800,14950,15050,14700,127402
2017-06-26 00:00:00,14500,14900,14950,14400,202179
